,selfie,smile,med1,pdop,adip,rano,osmb,siga,zale,valt,med2,dhop,shop,logp
0,[C][C][C][Branch1][C][C][Branch1][C][C][Br],CCC(C)(C)Br,0.0769230769230769,0.0046077990290988,2.9931273969774224e-05,0.0,1.3310364904170346e-06,2.3113456716826404e-17,8.305895500294471e-10,0.0,0.0183284260450802,0.5,0.3333333333333333,0.652268052785455
1,[C][C][=Branch1][C][=O][N][C][Branch2][Ring1][=Branch2][C][C][=C][C][=C][Branch1][#Branch2][O][P][=Branch1][C][=O][Branch1][C][O][O][C][Branch1][Ring1][C][=O][=C][Ring1][=N][C][=Branch1][C][=O][N][C][C][C][C][C][N][Branch2][Ring1][Ring2][C][C][=C][C][=C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring1][N][C][Ring2][Ring1][Ring2][=O],CC(=O)NC(CC1=CC=C(OP(=O)(O)O)C(C=O)=C1)C(=O)NC2CCCCN(CC3=CC=C(C4=CC=CC=C4)C=C3)C2=O,0.0599670272000677,0.1423368291750686,0.1461804669991744,0.1327849720031177,0.3703453331614571,7.398178262023313e-28,2.4302473329663892e-18,1.4642611759172663e-41,0.1345221564430435,0.5263032042085127,0.3730803974706413,-3.164507070325602
2,[C][C][=Branch1][C][=O][N][C][Branch2][Ring1][O][C][C][=C][C][=C][Branch1][S][C][Branch1][C][F][Branch1][C][F][P][=Branch1][C][=O][Branch1][C][O][O][C][=C][Ring1][=N][C][=Branch1][C][=O][N][C][C][C][C][C][N][Branch2][Ring1][Ring2][C][C][=C][C][=C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring1][N][C][Ring2][Ring1][Ring2][=O],CC(=O)NC(CC1=CC=C(C(F)(F)P(=O)(O)O)C=C1)C(=O)NC2CCCCN(CC3=CC=C(C4=CC=CC=C4)C=C3)C2=O,0.0603938441678774,0.1394610412338448,0.1434478808738709,0.2738813433431128,0.1866335094464082,5.8427836754299495e-24,6.477811220621234e-18,4.874793860725905e-36,0.1183693348592795,0.5230892063355056,0.3682236895736528,-2.4056065806670426
3,[C][C][=C][C][Branch2][Ring2][Branch1][C][O][C][=C][C][=C][Branch2][Ring1][#Branch1][N][C][=Branch1][C][=O][C][C][N][Branch1][C][C][C][C][C][Ring1][#Branch1][C][=Branch1][C][=O][N][O][C][=C][Ring2][Ring1][Ring2][=C][C][=C][C][=C][C][Ring1][=Branch1][=N][Ring2][Ring1][S],CC1=CC(COC2=CC=C(NC(=O)C3CN(C)CCC3C(=O)NO)C=C2)=C4C=CC=CC4=N1,0.0789473684210526,0.1327106849528517,0.1662494988632025,0.1042046766268305,0.4712591408031341,1.7528359902092957e-07,8.834050797789434e-07,0.0,0.1569767171139282,0.5392014052525599,0.392571012381646,0.5306709994052372
4,[C][C][O][C][=Branch1][C][=O][C][=C][C][=C][Branch1][C][O][C][Branch2][Ring2][C][N][C][=C][C][=Branch1][N][=C][Ring1][Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][Branch1][C][C][C][=Branch1][C][=O][N][Ring1][S][C][=C][Ring2][Ring1][#Branch2],CCOC(=O)C1=CC=C(O)C(N2C=C3C(=C2C4=CC=CC=C4)C(=O)N(C)C(=O)N3C)=C1,0.0445380175934891,0.0061698201902832,0.1782786757149016,0.0499902328414946,0.5717246130170762,0.0020944534688323,0.0132372249044992,0.0,0.1678386594791329,0.548381482770623,0.4064431295200525,0.9223012146319788
5,[C][C][C][C][C][Branch1][C][C][C][C][Branch1][Ring1][C][O][C][Branch1][Branch1][C][C][C][C][Branch1][Ring1][O][C][O][O][Ring1][#C],CCCCC1(C)CC(CO)C(CCCC)(OC)OO1,0.0936329177569044,0.0062964738780979,0.0055921319627863,0.0558618236309074,0.0095513116423861,4.894487373754568e-08,4.24169871427425e-06,0.0,0.0468053465992823,0.5040793016235621,0.3394976113422716,-0.597710116658954
6,[C][C][C][C][C][C][C][C][C][C][C][C][N][C][=C][C][=C][C][=C][Branch1][=Branch2][C][=C][C][=C][Ring1][#Branch2][Ring1][=Branch1][C][=Branch1][C][=O][N][Branch2][Ring1][Ring2][C][C][C][N][C][C][C][N][C][C][N][C][C][C][N][C][C][Ring1][=C][C][Ring2][Ring1][N][=O],CCCCCCCCCCCCNC1=CC=C2C3=C(C=CC=C13)C(=O)N(CCCN4CCCNCCNCCCNCC4)C2=O,0.0340305390965028,0.3023207724625709,0.1261816073278383,0.6005593817290306,0.0250823446575371,0.0,0.0,0.0,0.1198288057511508,0.531343182434264,0.3806963645673323,-25.55077085222224
7,[N][C][=C][C][Branch1][=Branch2][C][C][C][N][C][C][Ring1][=Branch1][=C][C][Branch1][=Branch2][N][C][C][C][C][C][Ring1][Branch1][=N][Ring2][Ring1][C],NC1=CC(C2CCNCC2)=CC(NC3CCCC3)=N1,0.082558881056403,0.129488235885947,0.2529822128134703,0.0327203357413245,0.0888787421760728,0.0135466431548216,0.0071178885488268,0.0,0.0769284640704274,0.519526482792287,0.3628400184416782,0.7403385811591332
8,[C][O][C][=Branch1][C][=O][C][C][C][C][Branch1][C][C][C][Branch1][N][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][N][Ring1][=C][C][=Branch1][C][=O][C][=C][C][=C][Branch2][Ring1][Ring1][C][=N][O][C][C][Branch1][C][O][C][O][C][C][=C][C][=C][O][Ring1][Branch1][C][=C][Ring2][Ring1][Ring2],COC(=O)C1CCC(C)C(C2=CC=C(C)C=C2)N1C(=O)C3=CC=C(C=NOCC(O)COCC4=CC=CO4)C=C3,0.0819537547062229,0.1454171173064599,0.1681256376734078,0.3324774596887399,0.1380909693545952,4.926149490966981e-22,2.533079791281385e-19,0.0,0.1088829713640694,0.532871972318339,0.3830065359477124,0.5932484649300949
9,[C][C][O][C][=Branch1][C][=O][C][Branch1][O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][C][C][N][Branch1][=N][C][=Branch1][C][=O][C][C][C][=Branch1][C][=O][O][C][C][Ring2][Ring1][=Branch1],CCOC(=O)C1(CC2=CC=CC=C2C)CCCN(C(=O)CCC(=O)OC)C1,0.0807046689808617,0.1712385607895198,0.1974712944177558,0.0570421238400547,0.1962519027389786,0.0002050801981828,7.1243967243703375e-06,0.0,0.1190973777202401,0.5137282635826608,0.3540782649693541,0.6139952461072447
